MES ;ANO;DESTINO;DESTINAÄ«O;RES÷DUO;CLASSE;CLASSE_12;MASSA(t);VIAGENS;Volume (m3);ORIGEM;NOTAS;
Mar;2010;COMPOSTAGEM;COMPOSTAGEM;RES÷DUO ORG∂NICO COLETADO;RDO;RSU;279,95;;;SLU;;
Mar;2010;COMPOSTAGEM;COMPOSTAGEM;PODA;RPO ;RPO;51,27;;;SLU;;
Mar;2010;CTRS BR040;ATERRAGEM;RES÷DUOS COLETA EM UNID. SERVIÄOS DE SAÈDE;RSS;RSS;862,32;419;;SLU;;
Mar;2010;CTRS BR040;ATERRAGEM;ANIMAIS MORTOS;RSS;RSS;22,07;32;;SLU;;
Mar;2010;CTRS BR040;ATERRAGEM;RES÷DUOS SAÈDE DE PARTICULARES ;RSS;RSS;97,41;265;;SLU;;
Mar;2010;CTRS BR040;ATERRAGEM;COLETA DOMIC VILAS FAVELAS;RDO;RSU;423,85;175;;SLU;;
Mar;2010;CTRS BR040;ATERRAGEM;COL DEPO CLAND. CARG MANUAL;RPU;RSU;68,27;20;;SLU;;
Mar;2010;CTRS BR040;ATERRAGEM;MANUTENÄ«O GERAL DA CTRS;RPU;RSU;638,35;216;;SLU;;
Mar;2010;CTRS BR040;ATERRAGEM;REJEITOS URE PAMPULHA;RCC;RCCV;192,05;61;;SLU;;
Mar;2010;CTRS BR040;ATERRAGEM;PODA ATERRADA;RPO ;RPO;198,24;124;;SLU;;
Mar;2010;CTRS BR040;ATERRAGEM;RES÷DUOS DIVERSOS;Outros;RSU;234,71;52;;SLU;;
Mar;2010;CTRS BR040;ATERRAGEM;RES÷DUOS PÈBLICOS DAS REGIONAIS;RPU;RSU;87,02;31;;SLU;;
Mar;2010;CTRS BR040;ATERRAGEM;VARRIÄ«O;RPU;RSU;91,04;45;;SLU;;
Mar;2010;CTRS BR040;ATERRAGEM;ENTULHO PARTICULAR;RCC;RCCV;6648,888;1236;;SLU;;
Mar;2010;CTRS BR040;ATERRAGEM;COLETA MEC. DEPOSIÄ«O CLANDESTINA/ENTULHO;RCC;RCCV;300,817;41;;SLU;;
Mar;2010;CTRS BR040;ATERRAGEM;RES÷DUOS URPV - ENTULHO;RCC;RCCV;91,553;16;;SLU;;
Mar;2010;CTRS BR040;ATERRAGEM;TERRA PARTICULAR;RCC;RCCV;582,61;83;;SLU;;
Mar;2010;CTRS BR040;ATERRAGEM;COLETA MEC. DE DEPOSIÄ«O CLANDESTINA/TERRA;RCC;RCCV;938,121;156;;SLU;;
